Filename,Formula,Density,DeltaH,Velocity,Pressure,Temperature,Volume,H50,H
confmin1m86,C4H4N8O5,1.71948469,115.03407524910361,7733.535166012709,25.801221437981503,4877.357986671201,688.1715919817524,3.2312325581395345,3356459.210352435
confmin1m87,C4H4N6O3,1.623264034,92.56672808299226,6890.377201071701,19.75151086068124,4206.384555384014,669.1544147679774,2.6684585365853652,2814720.7954470487
confmin1m88,C4H3N7O5,1.7194958159999998,104.53415853859923,7731.614723062835,25.788511918220692,5051.6156526318455,659.9435067407643,2.2122536585365857,3333780.948504395
confmin1m89,C4H4N8O5,1.7178768020000001,111.34186124012395,7722.5403869116035,25.713030714020892,4862.233719835642,688.1715919817524,2.864821951219512,3346051.1195666515
confmin1m9,C4H7N9O3,1.65130023,116.9693769491266,7050.9736568098,20.910622910753254,3678.53017810652,781.9970319023372,-0.6286251518737345,2876599.681042474
confmin1m90,C4H5N7O3,1.62683209,98.95504447326849,6919.267840173475,19.945610407395964,4035.8334096856183,703.0667772825065,3.3158372093023254,2837460.388996737
confmin1m92,C4H5N9O5,1.703064426,109.36520000810498,7653.947248542059,25.12293852914321,4660.899315938121,713.128589278837,-1.5786634575223388,3323820.5539456485
confmin1m94,C4H3N9O7,1.77083546,112.0521033241972,8221.581779054322,29.690335287823796,5391.014493452373,677.9128253912386,0.6462854838709676,3654637.866981415
confmin1m95,C4H5N9O5,1.70981027,112.29411037304604,7679.480161065859,25.353040882761736,4672.2017496295,713.128589278837,1.4525555555555554,3331880.6425393997
confmin1m97,C4H4N8O5,1.7122354880000001,111.27653719285988,7704.917934832735,25.54372770011542,4861.966135584242,688.1715919817524,0.9474709677419355,3345866.9756863764
confmin1m98,C4H2N8O7,1.7843465580000002,102.41415906659915,8274.730498117146,30.21385250445069,5567.946908068841,653.7567225307622,0.6507580645161286,3640082.721844377
confmin1m99,C4H4N8O5,1.720052744,105.59309692947748,7719.921206945154,25.715711210236524,4838.68528921989,688.1715919817524,1.509444444444444,3329845.7585811378
confminu1m1,C2H4N6O2,1.725513434,100.1513319283536,7536.93189808315,24.559065009154637,4060.944366039697,777.2803183740186,0.20786666666666634,3156492.129734513
confminu1m15,C2H5N7O2,1.5982584420000001,90.18530881274201,7123.587768510933,20.900349916557147,3608.7671305447575,844.7156249764312,0.7423032258064514,3048381.982072517
confminu1m17,C2H4N6O2,1.605648394,82.5551223544049,7120.246715843721,20.943340316092808,3938.8266198527626,777.2803183740186,1.4778888888888888,3061572.409099215
confminu1m19,C2H6N8O2,1.6241385660000003,99.32941499049592,7210.068641336043,21.634333143847048,3350.095751522773,900.5209237874443,0.7558161290322581,3016831.32093768
confminu1m2,C2H5N7O2,1.73963103,106.3744967066399,7601.624600133668,25.10797293163408,3710.517578184264,844.7156249764313,0.685587096774193,3134332.175041955
confminu1m21,C2H6N8O2,1.703389496,107.12744135119195,7473.584114035912,23.955703862255255,3394.8807387753723,900.5209237874443,0.6906306451612902,3057161.1390301995
confminu1m23,C2H4N6O2,1.640155966,88.62096630394598,7242.929944037067,21.96968531558354,3980.923594699908,777.2803183740186,-1.292367426265855,3094293.559110987
confminu1m24,C2H5N7O2,1.692459446,101.08206761472938,7441.926373428467,23.658024792161918,3677.254203101366,844.7156249764313,0.20568888888888884,3106234.082369979
confminu1m26,C2H3N7O4,1.770090246,93.50155790042683,8263.581240377072,29.9868058197263,5021.221768273119,740.3892712940715,0.8236661290322579,3717658.7260176637
confminu1m27,C2H1N7O6,1.82829807,89.45425223378514,8207.204974691282,30.15794930261486,4556.666964422756,690.182032772326,0.48888870967741926,3144929.6681718016
confminu1m28,C2N8O8,1.85504654,89.55515646009742,7629.182677062483,26.28356059393652,3321.4358822942395,678.6074309028432,0.0023839287912323925,2253951.0709922123
confminu1m29,C2H4N8O4,1.7372591960000001,99.77268058759059,8113.633918591905,28.58025613916993,4794.312742737984,768.234446339118,0.43141129032258063,3683156.195493893
confminu1m3,C2H3N7O4,1.779029038,98.43138988117255,8303.41377825934,30.368967512464977,5047.293159411436,740.3892712940715,0.7205112903225808,3736961.7043041848
confminu1m30,C2H2N8O6,1.789098748,96.9187167648649,8275.680780447137,30.26921247315822,4814.252419581949,717.6810290589049,0.5126790322580643,3455097.6306348955
confminu1m33,C2H2N6O4,1.736835668,79.18346460508043,8178.8259025701645,29.037032243179972,5241.047321208475,707.7405910139465,0.9299612903225806,3709301.9286441477
confminu1m35,C2H4N6O2,1.65488099,92.30332057585889,7298.862275287362,22.437610079876933,4006.47914417538,777.2803183740186,0.8755290322580644,3114157.384743505
confminu1m36,C2H2N6O4,1.77636534,87.91186724357748,8327.634943201592,30.51876417135702,5291.1889196597995,707.7405910139465,0.662938709677419,3744789.1731664715
confminu1m37,C2H3N7O4,1.7430896059999998,87.1803200218319,8162.072463266474,28.9819951054913,4987.791934182451,740.3892712940715,-1.538824594264156,3692907.6355157923
confminu1m38,C2H1N7O6,1.82616618,89.3464276276069,8200.247560105156,30.0860338568784,4556.174777869013,690.182032772326,0.2610666666666665,3144589.9698556364
confminu1m39,C2H3N7O4,1.718382886,89.01200979115238,8085.725919358481,28.193568360972723,4997.478816130258,740.3892712940715,0.41770806451612896,3700079.6989822406
confminu1m40,C2H2N8O6,1.8415644660000001,101.99917000463425,8454.89898625815,32.14275349872034,4835.95566339556,717.6810290589049,0.47194999999999987,3470673.6369889644
confminu1m43,C2H3N5O2,1.6897277000000002,88.24697655158113,7430.837061571347,23.563757129523996,4264.400933622125,737.5412852679538,-1.0677704580032525,3145171.745481524
confminu1m44,C2H4N6O2,1.715591466,95.82764022122095,7493.050531611533,24.187580575193465,4030.937932877871,777.2803183740186,0.2676000000000002,3133168.71981322
confminu1m5,C2H5N7O2,1.675174678,102.1568699793932,7393.064283785721,23.198541394643716,3684.00942902408,844.7156249764313,0.8550693548387097,3111940.3272571415
confminu1m9,C2H4N6O2,1.665579162,91.7760715652793,7329.399423639934,22.718267506776474,4002.82003449152,777.2803183740186,1.5478888888888893,3111313.2308034687
confminu2m1,C4H7N7O4,1.657053944,107.28661604840927,7497.260732451214,23.69370625158359,4856.142870368563,747.894658116352,1.879865853658536,3631883.311798457
confminu2m100,C4H7N7O4,1.7139586679999999,122.17184677635349,7700.03390484508,25.527263487973375,4924.6932687888275,747.894658116352,3.9509651162790695,3683151.7885887204
confminu2m101,C4H5N7O6,1.784554926,121.6595764811061,8338.037745218162,30.68009172300145,5733.934551547995,702.4762287061894,1.27605,4027952.7194195515
confminu2m103,C4H4N6O6,1.760389662,108.60596371119546,8268.513493099752,29.922631096832983,5950.347054595357,675.5383928976099,1.537219999999994,4019687.886444374
confminu2m104,C4H5N5O4,1.681532956,97.49484200918471,7592.730014042123,24.526851151502196,5339.376124374776,688.3518889059909,4.836546511627907,3675369.640792926
confminu2m106,C4H4N8O8,1.855102526,126.1030913600701,8837.873439924624,35.27210755077376,6135.790116684422,690.1194070888407,3.428313953488371,4234427.837347822
confminu2m108,C4H5N7O6,1.7882960780000001,116.79125376097544,8343.07111114573,30.755892703463918,5714.234776013141,702.4762287061894,3.830779069767442,4014114.095395468
confminu2m110,C4H6N6O4,1.6865425600000001,105.88607583149951,7607.783896692897,24.6701840761833,5097.104270668023,720.3347736070924,4.627209302325582,3671621.450863394
confminu2m112,C4H7N7O4,1.69241496,115.2404504240226,7620.830329487758,24.808767861400092,4892.772367444044,747.894658116352,3.7894651162790693,3659278.3169906978
confminu2m113,C4H5N7O6,1.75404527,119.64378395558307,8235.493077630132,29.618924343408757,5725.777602520472,702.4762287061894,4.8679767441860475,4022222.656628948
confminu2m114,C4H6N8O6,1.882970644,137.11207064178046,8648.927856851711,34.075061206478054,5551.464133415668,726.3282231463405,3.5676744186046516,4032185.079884441
confminu2m116,C4H8N8O4,1.817743908,136.02038046880386,8019.860322564856,28.698067353577393,4764.085205551007,771.8897066095469,5.16311589489942,3677348.33157565
confminu2m12,C4H8N8O4,1.6791203920000002,122.11245514106675,7566.140287535574,24.333413515315613,4704.177925682937,771.8897066095471,3.5279418604651163,3631106.5188945103
confminu2m122,C4H5N7O6,1.8172964200000001,120.13574740366488,8442.666479291796,31.799091585615926,5727.76834349138,702.4762287061894,4.2551860465116285,4023621.104838522
confminu2m123,C4H7N7O4,1.733924388,115.86635676423433,7750.477437885524,26.048317927496143,4895.654830590197,747.894658116352,6.369196383213875,3661434.095779923
confminu2m124,C4H7N7O4,1.7896515259999999,128.88592827048885,7947.172729478552,27.91898575852601,4955.6133781147155,747.894658116352,4.6491511627907,3706276.7731819255
confminu2m126,C4H6N6O4,1.774514424,119.61515475307249,7906.436047002115,27.492319461744405,5165.026888088664,720.3347736070924,4.468476744186046,3720548.474105893
confminu2m127,C4H5N7O6,1.8668240660000002,129.13425677016045,8617.971762148627,33.66247439200951,5764.181010617007,702.4762287061894,3.136521951219513,4049200.1379180667
confminu2m128,C4H3N7O8,1.865094814,122.88602935042218,8900.08963250244,35.883078232900374,6374.331959259789,666.8862675992294,2.959341463414634,4250954.448749244
confminu2m129,C4H7N7O4,1.7929210780000002,126.92555846671831,7953.700447983859,27.99555479433973,4946.585360104405,747.894658116352,4.516906976744187,3699524.766738636
confminu2m130,C4H5N7O6,1.78835824,118.48768182653784,8345.778504519709,30.77650051695921,5721.09940969168,702.4762287061894,5.201438822635282,4018936.3373734183
confminu2m131,C4H6N6O4,1.8079017780000002,120.26398757574987,8011.454464515154,28.54544978687066,5168.236893933661,720.3347736070924,6.913685726094172,3722860.7529395265
confminu2m132,C4H5N7O6,1.819134854,121.45213902125639,8450.630923969113,31.878275063551442,5733.095151279877,702.4762287061894,4.957534840608787,4027363.060684829
confminu2m133,C4H7N7O4,1.7700742520000001,120.224285713927,7870.453152225075,27.20136538223223,4915.72423839775,747.894658116352,6.662117485363524,3676443.89867075
confminu2m134,C4H6N6O4,1.791645406,119.75734522667153,7959.9533540978855,28.027606261075366,5165.730354737395,720.3347736070924,5.479385974505931,3721055.2055950467
confminu2m135,C4H4N6O6,1.8181303739999999,114.88071659975218,8466.838605253004,31.99016683697626,5977.380450909245,675.5383928976099,6.372611492654869,4037949.9835448223
confminu2m136,C4H6N6O4,1.7876964480000002,121.72685972811084,7951.424025428101,27.930496180532593,5175.474240743869,720.3347736070924,4.158523255813954,3728074.065515573
confminu2m138,C4H7N5O2,1.6994586880000002,116.79895866703094,7188.537662359322,22.13132444532273,3823.524726783035,855.3390082700595,6.282260467472042,3270409.8479026514
confminu2m14,C4H9N7O2,1.7066232259999998,127.29175970847105,7251.815989158375,22.58170843437261,3266.1144055909767,957.4697494058029,7.2288483489746795,3127205.7414518753
confminu2m140,C4H3N7O8,1.7977318359999999,113.2209120089322,8660.61552929482,33.24652469954072,6339.453527870255,666.8862675992294,1.2656999999999996,4227694.501820162
confminu2m142,C4H4N6O6,1.8243342400000002,119.07802929464792,8493.551742804539,32.25753794164866,5995.463651881408,675.5383928976099,1.1474999999999995,4050165.880068002
confminu2m144,C4H4N4O4,1.6743997339999999,94.08465603820453,7570.681224053308,24.319527801971184,5652.864545879184,650.7883603712655,2.7744878048780497,3678818.449213573
confminu2m145,C4H3N5O6,1.78048713,103.17078914268532,8349.241822602033,30.720302865097576,6231.786624674852,644.8744549198669,0.850501612903226,4018720.0027641123
confminu2m146,C4H5N5O4,1.63391739,94.89114027223653,7440.3563239925725,23.127280462208446,5325.461038706431,688.3518889059909,1.0118999999999996,3665791.1652888325
confminu2m150,C4H4N6O6,1.7512253839999998,102.93982846557276,8230.095720774778,29.551094304529283,5925.935753882249,675.5383928976099,4.147651162790699,4003197.1155921007
confminu2m152,C4H5N5O4,1.6606344240000002,97.91930560921057,7528.783565903626,23.92606833128301,5341.644605158745,688.3518889059909,0.9680999999999991,3676931.153825518
confminu2m153,C4H3N5O6,1.78397245,103.34619108021246,8360.92573775284,30.84269030018056,6232.594569178081,644.8744549198669,1.0362000000000005,4019241.0255352375
confminu2m155,C4H6N6O4,1.6402007340000002,99.70246092114138,7452.995474131528,23.2629373526196,5066.511736949475,720.3347736070924,1.2126000000000006,3649584.5850131763
confminu2m156,C4H4N6O6,1.775816982,110.83637208444141,8322.296963144916,30.473964522620697,5959.956279781855,675.5383928976099,1.0741500000000004,4026179.2869838527
confminu2m158,C4H7N7O4,1.763179816,124.19161808942562,7856.367344601699,27.039990561354585,4933.994846356517,747.894658116352,5.612905681974098,3690108.3887636503
confminu2m159,C4H8N6O2,1.5995453999999998,112.80607837104091,6902.142894657426,19.63138704517504,3466.8392957988226,910.8583375952368,4.583720930232559,3157799.4776811567
confminu2m160,C4H6N6O4,1.75613361,116.06269519922066,7842.619201916352,26.87987635864195,5147.4516120954995,720.3347736070924,6.306000938255238,3707888.3916522744
confminu2m161,C4H6N6O4,1.7872042359999998,120.89644718510033,7948.31521860543,27.904036063340317,5171.36589569156,720.3347736070924,6.465152367200062,3725114.6817124183
confminu2m162,C4H4N6O6,1.7550721299999998,109.3676042349794,8252.26949686249,29.750331782375255,5953.62841570931,675.5383928976099,2.41629024390244,4021904.5718578105
confminu2m164,C4H6N6O4,1.677429606,106.74997661630223,7581.141116358486,24.414531424454125,5101.378293916833,720.3347736070924,4.153186046511629,3674700.1784327175
confminu2m166,C4H6N6O4,1.757600572,116.75231864239477,7848.474895081837,26.933724195514884,5150.863423591566,720.3347736070924,4.925275243429496,3710346.0381138837
confminu2m167,C4H5N5O4,1.768078432,110.42514461255978,7886.169174809998,27.29143953818229,5408.48014880673,688.3518889059909,6.778769654035841,3722937.526541667
confminu2m168,C4H5N5O4,1.7951148760000002,115.22809934875484,7979.640566469432,28.1991505578474,5434.148805729652,688.3518889059909,6.20516853148456,3740606.5950202406
confminu2m169,C4H3N5O6,1.7763781339999998,101.92405203063532,8333.86552483225,30.564581440029116,6226.043846625468,644.8744549198669,4.028848837209304,4015016.6318997904
confminu2m17,C4H8N6O2,1.617664716,114.51526834617125,6959.913243996974,20.1073979476406,3476.7680583075216,910.8583375952368,4.807093023255814,3166843.1737942086
confminu2m170,C4H4N4O4,1.712817238,98.365716133779,7698.149345868216,25.504238519283977,5677.740118375515,650.7883603712655,4.921893311437088,3695007.182251756
confminu2m171,C4H5N5O4,1.69849892,103.41721663348481,7656.597408296859,25.098340281728657,5371.02734966211,688.3518889059909,2.3186317073170732,3697156.821505652
confminu2m173,C4H4N4O4,1.716751118,99.72634346998959,7713.033102407004,25.639358171341474,5685.646193783656,650.7883603712655,3.204151162790698,3700152.364103592
confminu2m174,C4H5N3O2,1.63149117,101.90409194623916,6790.48179946459,19.245310078187092,4609.690950572731,704.9489620098598,5.0614426984948295,3249596.8507924904
confminu2m178,C4H2N8O10,1.8891625600000002,126.98769655736595,8913.53812330253,36.26088811717591,6037.017702201993,660.6515091851049,2.5578951219512187,3988364.855936941
confminu2m179,C4H6N8O6,1.790647704,124.08181641066626,8329.109793016974,30.677274956466164,5501.756982488854,726.3282231463405,3.7600116279069766,3996081.3732741014
confminu2m18,C4H9N7O2,1.643656488,120.73765127874445,7048.364915716563,20.83352795332538,3231.095651995012,957.4697494058028,5.822033683186419,3093676.344221843
confminu2m180,C4H4N8O8,1.903935184,134.829558083287,9013.262607937215,37.24384645429249,6165.66265699217,690.1194070888407,2.3569975609756098,4255043.457153243
confminu2m181,C4H6N8O6,1.7779278139999999,123.38618735263222,8286.72339133509,30.23569566285,5499.1033321483865,726.3282231463405,3.7331279069767445,3994153.952137458
confminu2m182,C4H8N8O4,1.644709196,115.74012048834891,7448.89370477839,23.27806446142765,4676.729602050365,771.8897066095471,1.1601000000000006,3609919.440418841
confminu2m183,C4H6N8O6,1.7654748079999998,124.7379892308497,8248.142312543354,29.827599374581794,5504.260117180506,726.3282231463405,0.8731500000000006,3997899.4706469853
